konu konum yer yerim
maç maçım ceza cezam
maç maçım dil dilim
maç maçım lira liram
eğitim eğitimim saat saatim
eğitim eğitimim ilişki ilişkim
eğitim eğitimim değer değerim
eğitim eğitimim toplantı toplantım
eğitim eğitimim bilgi bilgim
eğitim eğitimim ceza cezam
eğitim eğitimim dil dilim
eğitim eğitimim lira liram
saat saatim ilişki ilişkim
saat saatim değer değerim
saat saatim toplantı toplantım
saat saatim bilgi bilgim
saat saatim ceza cezam
saat saatim dil dilim
saat saatim lira liram
ilişki ilişkim değer değerim
ilişki ilişkim toplantı toplantım
ilişki ilişkim bilgi bilgim
ilişki ilişkim ceza cezam
ilişki ilişkim dil dilim
ilişki ilişkim lira liram
değer değerim toplantı toplantım
değer değerim bilgi bilgim
değer değerim ceza cezam
değer değerim dil dilim
değer değerim lira liram
toplantı toplantım bilgi bilgim
toplantı toplantım ceza cezam
toplantı toplantım dil dilim
toplantı toplantım lira liram
bilgi bilgim ceza cezam
bilgi bilgim dil dilim
bilgi bilgim lira liram
ceza cezam dil dilim
ceza cezam lira liram
dil dilim lira liram
