olur oluyor eder ediyor
alınır alınıyor kazanır kazanıyor
bırakır bırakıyor yazar yazıyor
bırakır bırakıyor satar satıyor
bırakır bırakıyor hazırlar hazırlıyor
bırakır bırakıyor tutar tutuyor
bırakır bırakıyor savunur savunuyor
bırakır bırakıyor oynar oynuyor
bırakır bırakıyor kazanır kazanıyor
yazar yazıyor satar satıyor
yazar yazıyor hazırlar hazırlıyor
yazar yazıyor tutar tutuyor
yazar yazıyor savunur savunuyor
yazar yazıyor oynar oynuyor
yazar yazıyor kazanır kazanıyor
satar satıyor hazırlar hazırlıyor
satar satıyor tutar tutuyor
satar satıyor savunur savunuyor
satar satıyor oynar oynuyor
satar satıyor kazanır kazanıyor
hazırlar hazırlıyor tutar tutuyor
hazırlar hazırlıyor savunur savunuyor
hazırlar hazırlıyor oynar oynuyor
hazırlar hazırlıyor kazanır kazanıyor
tutar tutuyor savunur savunuyor
tutar tutuyor oynar oynuyor
tutar tutuyor kazanır kazanıyor
savunur savunuyor oynar oynuyor
savunur savunuyor kazanır kazanıyor
oynar oynuyor kazanır kazanıyor
