olur olsun eder etsin
bulur bulsun bırakır bıraksın
bulur bulsun yazar yazsın
bulur bulsun satar satsın
bulur bulsun hazırlar hazırlasın
bulur bulsun tutar tutsun
bulur bulsun savunur savunsun
bulur bulsun oynar oynasın
bulur bulsun kazanır kazansın
kurar kursun düşer düşsün
kurar kursun oluşur oluşsun
kurar kursun atar atsın
kurar kursun bekler beklesin
kurar kursun sağlar sağlasın
kurar kursun düşünür düşünsün
kurar kursun artar artsın
kurar kursun tartışır tartışsın
kurar kursun gelişir gelişsin
kurar kursun bakar baksın
kurar kursun alınır alınsın
kurar kursun arar arasın
kurar kursun bırakır bıraksın
kurar kursun yazar yazsın
kurar kursun satar satsın
kurar kursun hazırlar hazırlasın
kurar kursun tutar tutsun
kurar kursun savunur savunsun
kurar kursun oynar oynasın
kurar kursun kazanır kazansın
düşer düşsün oluşur oluşsun
düşer düşsün atar atsın
düşer düşsün bekler beklesin
düşer düşsün sağlar sağlasın
düşer düşsün düşünür düşünsün
düşer düşsün artar artsın
düşer düşsün tartışır tartışsın
düşer düşsün gelişir gelişsin
düşer düşsün bakar baksın
düşer düşsün alınır alınsın
düşer düşsün arar arasın
düşer düşsün bırakır bıraksın
düşer düşsün yazar yazsın
düşer düşsün satar satsın
düşer düşsün hazırlar hazırlasın
düşer düşsün tutar tutsun
düşer düşsün savunur savunsun
düşer düşsün oynar oynasın
düşer düşsün kazanır kazansın
oluşur oluşsun atar atsın
oluşur oluşsun bekler beklesin
oluşur oluşsun sağlar sağlasın
oluşur oluşsun düşünür düşünsün
oluşur oluşsun artar artsın
oluşur oluşsun tartışır tartışsın
oluşur oluşsun gelişir gelişsin
oluşur oluşsun bakar baksın
oluşur oluşsun alınır alınsın
oluşur oluşsun arar arasın
oluşur oluşsun bırakır bıraksın
oluşur oluşsun yazar yazsın
oluşur oluşsun satar satsın
oluşur oluşsun hazırlar hazırlasın
oluşur oluşsun tutar tutsun
oluşur oluşsun savunur savunsun
oluşur oluşsun oynar oynasın
oluşur oluşsun kazanır kazansın
atar atsın bekler beklesin
atar atsın sağlar sağlasın
atar atsın düşünür düşünsün
atar atsın artar artsın
atar atsın tartışır tartışsın
atar atsın gelişir gelişsin
atar atsın bakar baksın
atar atsın alınır alınsın
atar atsın arar arasın
atar atsın bırakır bıraksın
atar atsın yazar yazsın
atar atsın satar satsın
atar atsın hazırlar hazırlasın
atar atsın tutar tutsun
atar atsın savunur savunsun
atar atsın oynar oynasın
atar atsın kazanır kazansın
bekler beklesin sağlar sağlasın
bekler beklesin düşünür düşünsün
bekler beklesin artar artsın
bekler beklesin tartışır tartışsın
bekler beklesin gelişir gelişsin
bekler beklesin bakar baksın
bekler beklesin alınır alınsın
bekler beklesin arar arasın
bekler beklesin bırakır bıraksın
bekler beklesin yazar yazsın
bekler beklesin satar satsın
bekler beklesin hazırlar hazırlasın
bekler beklesin tutar tutsun
bekler beklesin savunur savunsun
bekler beklesin oynar oynasın
bekler beklesin kazanır kazansın
sağlar sağlasın düşünür düşünsün
sağlar sağlasın artar artsın
sağlar sağlasın tartışır tartışsın
sağlar sağlasın gelişir gelişsin
sağlar sağlasın bakar baksın
sağlar sağlasın alınır alınsın
sağlar sağlasın arar arasın
sağlar sağlasın bırakır bıraksın
sağlar sağlasın yazar yazsın
sağlar sağlasın satar satsın
sağlar sağlasın hazırlar hazırlasın
sağlar sağlasın tutar tutsun
sağlar sağlasın savunur savunsun
sağlar sağlasın oynar oynasın
sağlar sağlasın kazanır kazansın
düşünür düşünsün artar artsın
düşünür düşünsün tartışır tartışsın
düşünür düşünsün gelişir gelişsin
düşünür düşünsün bakar baksın
düşünür düşünsün alınır alınsın
düşünür düşünsün arar arasın
düşünür düşünsün bırakır bıraksın
düşünür düşünsün yazar yazsın
düşünür düşünsün satar satsın
düşünür düşünsün hazırlar hazırlasın
düşünür düşünsün tutar tutsun
düşünür düşünsün savunur savunsun
düşünür düşünsün oynar oynasın
düşünür düşünsün kazanır kazansın
artar artsın tartışır tartışsın
artar artsın gelişir gelişsin
artar artsın bakar baksın
artar artsın alınır alınsın
artar artsın arar arasın
artar artsın bırakır bıraksın
artar artsın yazar yazsın
artar artsın satar satsın
artar artsın hazırlar hazırlasın
artar artsın tutar tutsun
artar artsın savunur savunsun
artar artsın oynar oynasın
artar artsın kazanır kazansın
tartışır tartışsın gelişir gelişsin
tartışır tartışsın bakar baksın
tartışır tartışsın alınır alınsın
tartışır tartışsın arar arasın
tartışır tartışsın bırakır bıraksın
tartışır tartışsın yazar yazsın
tartışır tartışsın satar satsın
tartışır tartışsın hazırlar hazırlasın
tartışır tartışsın tutar tutsun
tartışır tartışsın savunur savunsun
tartışır tartışsın oynar oynasın
tartışır tartışsın kazanır kazansın
gelişir gelişsin bakar baksın
gelişir gelişsin alınır alınsın
gelişir gelişsin arar arasın
gelişir gelişsin bırakır bıraksın
gelişir gelişsin yazar yazsın
gelişir gelişsin satar satsın
gelişir gelişsin hazırlar hazırlasın
gelişir gelişsin tutar tutsun
gelişir gelişsin savunur savunsun
gelişir gelişsin oynar oynasın
gelişir gelişsin kazanır kazansın
bakar baksın alınır alınsın
bakar baksın arar arasın
bakar baksın bırakır bıraksın
bakar baksın yazar yazsın
bakar baksın satar satsın
bakar baksın hazırlar hazırlasın
bakar baksın tutar tutsun
bakar baksın savunur savunsun
bakar baksın oynar oynasın
bakar baksın kazanır kazansın
alınır alınsın arar arasın
alınır alınsın bırakır bıraksın
alınır alınsın yazar yazsın
alınır alınsın satar satsın
alınır alınsın hazırlar hazırlasın
alınır alınsın tutar tutsun
alınır alınsın savunur savunsun
alınır alınsın oynar oynasın
alınır alınsın kazanır kazansın
arar arasın bırakır bıraksın
arar arasın yazar yazsın
arar arasın satar satsın
arar arasın hazırlar hazırlasın
arar arasın tutar tutsun
arar arasın savunur savunsun
arar arasın oynar oynasın
arar arasın kazanır kazansın
bırakır bıraksın yazar yazsın
bırakır bıraksın satar satsın
bırakır bıraksın hazırlar hazırlasın
bırakır bıraksın tutar tutsun
bırakır bıraksın savunur savunsun
bırakır bıraksın oynar oynasın
bırakır bıraksın kazanır kazansın
yazar yazsın satar satsın
yazar yazsın hazırlar hazırlasın
yazar yazsın tutar tutsun
yazar yazsın savunur savunsun
yazar yazsın oynar oynasın
yazar yazsın kazanır kazansın
satar satsın hazırlar hazırlasın
satar satsın tutar tutsun
satar satsın savunur savunsun
satar satsın oynar oynasın
satar satsın kazanır kazansın
hazırlar hazırlasın tutar tutsun
hazırlar hazırlasın savunur savunsun
hazırlar hazırlasın oynar oynasın
hazırlar hazırlasın kazanır kazansın
tutar tutsun savunur savunsun
tutar tutsun oynar oynasın
tutar tutsun kazanır kazansın
savunur savunsun oynar oynasın
savunur savunsun kazanır kazansın
oynar oynasın kazanır kazansın
