olur olurum eder ederim
bakar bakarım alınır alınırım
bakar bakarım arar ararım
bakar bakarım bırakır bırakırım
bakar bakarım yazar yazarım
bakar bakarım satar satarım
bakar bakarım hazırlar hazırlarım
bakar bakarım tutar tutarım
bakar bakarım savunur savunurum
bakar bakarım oynar oynarım
bakar bakarım kazanır kazanırım
alınır alınırım arar ararım
alınır alınırım bırakır bırakırım
alınır alınırım yazar yazarım
alınır alınırım satar satarım
alınır alınırım hazırlar hazırlarım
alınır alınırım tutar tutarım
alınır alınırım savunur savunurum
alınır alınırım oynar oynarım
alınır alınırım kazanır kazanırım
arar ararım bırakır bırakırım
arar ararım yazar yazarım
arar ararım satar satarım
arar ararım hazırlar hazırlarım
arar ararım tutar tutarım
arar ararım savunur savunurum
arar ararım oynar oynarım
arar ararım kazanır kazanırım
bırakır bırakırım yazar yazarım
bırakır bırakırım satar satarım
bırakır bırakırım hazırlar hazırlarım
bırakır bırakırım tutar tutarım
bırakır bırakırım savunur savunurum
bırakır bırakırım oynar oynarım
bırakır bırakırım kazanır kazanırım
yazar yazarım satar satarım
yazar yazarım hazırlar hazırlarım
yazar yazarım tutar tutarım
yazar yazarım savunur savunurum
yazar yazarım oynar oynarım
yazar yazarım kazanır kazanırım
satar satarım hazırlar hazırlarım
satar satarım tutar tutarım
satar satarım savunur savunurum
satar satarım oynar oynarım
satar satarım kazanır kazanırım
hazırlar hazırlarım tutar tutarım
hazırlar hazırlarım savunur savunurum
hazırlar hazırlarım oynar oynarım
hazırlar hazırlarım kazanır kazanırım
tutar tutarım savunur savunurum
tutar tutarım oynar oynarım
tutar tutarım kazanır kazanırım
savunur savunurum oynar oynarım
savunur savunurum kazanır kazanırım
oynar oynarım kazanır kazanırım
