olur olursun eder edersin
bekler beklersin kazanır kazanırsın
sağlar sağlarsın düşünür düşünürsün
sağlar sağlarsın tartışır tartışırsın
sağlar sağlarsın bakar bakarsın
sağlar sağlarsın arar ararsın
sağlar sağlarsın bırakır bırakırsın
sağlar sağlarsın yazar yazarsın
sağlar sağlarsın satar satarsın
sağlar sağlarsın hazırlar hazırlarsın
sağlar sağlarsın tutar tutarsın
sağlar sağlarsın savunur savunursun
sağlar sağlarsın oynar oynarsın
sağlar sağlarsın kazanır kazanırsın
düşünür düşünürsün tartışır tartışırsın
düşünür düşünürsün bakar bakarsın
düşünür düşünürsün arar ararsın
düşünür düşünürsün bırakır bırakırsın
düşünür düşünürsün yazar yazarsın
düşünür düşünürsün satar satarsın
düşünür düşünürsün hazırlar hazırlarsın
düşünür düşünürsün tutar tutarsın
düşünür düşünürsün savunur savunursun
düşünür düşünürsün oynar oynarsın
düşünür düşünürsün kazanır kazanırsın
tartışır tartışırsın bakar bakarsın
tartışır tartışırsın arar ararsın
tartışır tartışırsın bırakır bırakırsın
tartışır tartışırsın yazar yazarsın
tartışır tartışırsın satar satarsın
tartışır tartışırsın hazırlar hazırlarsın
tartışır tartışırsın tutar tutarsın
tartışır tartışırsın savunur savunursun
tartışır tartışırsın oynar oynarsın
tartışır tartışırsın kazanır kazanırsın
bakar bakarsın arar ararsın
bakar bakarsın bırakır bırakırsın
bakar bakarsın yazar yazarsın
bakar bakarsın satar satarsın
bakar bakarsın hazırlar hazırlarsın
bakar bakarsın tutar tutarsın
bakar bakarsın savunur savunursun
bakar bakarsın oynar oynarsın
bakar bakarsın kazanır kazanırsın
arar ararsın bırakır bırakırsın
arar ararsın yazar yazarsın
arar ararsın satar satarsın
arar ararsın hazırlar hazırlarsın
arar ararsın tutar tutarsın
arar ararsın savunur savunursun
arar ararsın oynar oynarsın
arar ararsın kazanır kazanırsın
bırakır bırakırsın yazar yazarsın
bırakır bırakırsın satar satarsın
bırakır bırakırsın hazırlar hazırlarsın
bırakır bırakırsın tutar tutarsın
bırakır bırakırsın savunur savunursun
bırakır bırakırsın oynar oynarsın
bırakır bırakırsın kazanır kazanırsın
yazar yazarsın satar satarsın
yazar yazarsın hazırlar hazırlarsın
yazar yazarsın tutar tutarsın
yazar yazarsın savunur savunursun
yazar yazarsın oynar oynarsın
yazar yazarsın kazanır kazanırsın
satar satarsın hazırlar hazırlarsın
satar satarsın tutar tutarsın
satar satarsın savunur savunursun
satar satarsın oynar oynarsın
satar satarsın kazanır kazanırsın
hazırlar hazırlarsın tutar tutarsın
hazırlar hazırlarsın savunur savunursun
hazırlar hazırlarsın oynar oynarsın
hazırlar hazırlarsın kazanır kazanırsın
tutar tutarsın savunur savunursun
tutar tutarsın oynar oynarsın
tutar tutarsın kazanır kazanırsın
savunur savunursun oynar oynarsın
savunur savunursun kazanır kazanırsın
oynar oynarsın kazanır kazanırsın
